"Species","N_cells_HP","Perc_cells_HP","N_cells_CP","Perc_cells_CP","Rarity_CP","SCPTS.2023.value","RLS_2021_value","EPS_2023_value","SPEC_2023_value","pch_cells","ch_cells","pch_cells_sc","ch_cells_sc","rarity","SCPTS","RLS","EPS","SPEC","combindex_SCPTS","combindex_RLS","combindex_SCPTS1","combindex_RLS1","Priority_SCPTS","Priority_RLS","Priority_SCPTS1","Priority_RLS1"
"Alauda arvensis",2713,56.25,2938,60.92,0,0,7,5,5,8.29,4.67,0.92,0.24,0,0,0.57,0.5,0.5,1.92,2.49,1.24,1.81,"low","medium","low","medium"
"Alaudala rufescens",236,4.89,242,5.02,10,1,5,1,1,2.54,0.13,0.93,0.33,1,0.33,0.29,0.1,0.1,2.46,2.42,1.86,1.82,"medium","medium","medium","medium"
"Alectoris rufa",4449,92.25,4014,83.23,0,0,7,6,10,-9.78,-9.02,0.94,0.51,0,0,0.57,0.6,0.6,2.14,2.71,1.71,2.28,"medium","medium","medium","high"
"Anthus campestris",1934,40.1,1943,40.29,5,1,3,1,1,0.47,0.19,0.93,0.33,0.5,0.33,0,0.1,0.1,1.96,1.63,1.36,1.03,"low","low","low","low"
"Asio flammeus",73,1.51,359,7.44,10,1,3,1,1,391.78,5.93,0.32,0.22,1,0.33,0,0.1,0.1,1.85,1.52,1.75,1.42,"low","low","medium","low"
"Burhinus oedicnemus",2124,44.04,1766,36.62,5,1,5,5,5,-16.85,-7.42,0.96,0.48,0.5,0.33,0.29,0.5,0.5,2.79,2.75,2.31,2.27,"high","high","high","medium"
"Calandrella brachydactyla",2056,42.63,1367,28.34,5,1,3,2,5,-33.51,-14.29,0.98,0.62,0.5,0.33,0,0.2,0.2,2.21,1.88,1.85,1.52,"medium","low","medium","medium"
"Chersophilus duponti",226,4.69,200,4.15,10,3,10,7,10,-11.5,-0.54,0.95,0.34,1,1,1,0.7,0.7,4.35,4.35,3.74,3.74,"high","high","high","high"
"Circus cyaneus",686,14.22,1493,30.96,5,1,10,5,5,117.64,16.74,0.75,0,0.5,0.33,1,0.5,0.5,2.58,3.25,1.83,2.5,"high","high","medium","high"
"Circus pygargus",2112,43.79,2472,51.25,0,2,7,0,0,17.05,7.46,0.9,0.18,0,0.67,0.57,0,0,1.57,1.47,0.85,0.75,"low","low","low","low"
"Cisticola juncidis",2317,48.04,2924,60.63,0,1,5,0,1,26.2,12.59,0.89,0.08,0,0.33,0.29,0,0,1.22,1.18,0.41,0.37,"low","low","low","low"
"Coturnix coturnix",3559,73.79,1945,40.33,5,0,10,6,5,-45.35,-33.46,1,1,0.5,0,1,0.6,0.6,2.7,3.7,2.7,3.7,"high","high","high","high"
"Curruca conspicillata",1228,25.46,1319,27.35,5,1,3,0,1,7.41,1.89,0.92,0.3,0.5,0.33,0,0,0,1.75,1.42,1.13,0.8,"low","low","low","low"
"Cursorius cursor",1,0.02,7,0.15,10,1,10,6,5,600,0.13,0,0.33,1,0.33,1,0.6,0.6,2.53,3.2,2.86,3.53,"medium","high","high","high"
"Emberiza calandra",4315,89.47,4216,87.41,0,0,3,1,0,-2.29,-2.06,0.93,0.37,0,0,0,0.1,0.1,1.13,1.13,0.57,0.57,"low","low","low","low"
"Falco naumanni",1003,20.8,1791,37.13,5,1,7,2,5,78.56,16.33,0.81,0.01,0.5,0.33,0.57,0.2,0.2,2.04,2.28,1.24,1.48,"medium","medium","low","low"
"Galerida cristata",3731,77.36,2756,57.14,0,1,3,5,5,-26.13,-20.22,0.97,0.74,0,0.33,0,0.5,0.5,2.3,1.97,2.07,1.74,"medium","medium","medium","medium"
"Galerida theklae",2793,57.91,2234,46.32,5,1,3,1,1,-20.01,-11.59,0.96,0.56,0.5,0.33,0,0.1,0.1,1.99,1.66,1.59,1.26,"low","low","low","low"
"Glareola pratincola",191,3.96,449,9.31,10,1,7,1,1,135.08,5.35,0.72,0.23,1,0.33,0.57,0.1,0.1,2.25,2.49,1.76,2,"medium","medium","medium","medium"
"Melanocorypha calandra",2022,41.92,1915,39.71,5,1,5,5,5,-5.29,-2.21,0.94,0.38,0.5,0.33,0.29,0.5,0.5,2.77,2.73,2.21,2.17,"high","medium","high","medium"
"Oenanthe hispanica",2800,58.06,2028,42.05,5,1,5,2,7,-27.57,-16.01,0.97,0.65,0.5,0.33,0.29,0.2,0.2,2.2,2.16,1.88,1.84,"medium","medium","medium","medium"
"Oenanthe oenanthe",2258,46.82,2911,60.36,0,1,5,1,1,28.92,13.54,0.88,0.06,0,0.33,0.29,0.1,0.1,1.41,1.37,0.59,0.55,"low","low","low","low"
"Otis tarda",523,10.84,832,17.25,10,1,5,5,10,59.08,6.41,0.84,0.21,1,0.33,0.29,0.5,0.5,3.17,3.13,2.54,2.5,"high","high","high","high"
"Pterocles alchata",430,8.92,457,9.48,10,2,7,3,5,6.28,0.56,0.92,0.32,1,0.67,0.57,0.3,0.3,3.19,3.09,2.59,2.49,"high","high","high","high"
"Pterocles orientalis",819,16.98,713,14.78,10,2,10,10,5,-12.94,-2.2,0.95,0.38,1,0.67,1,1,1,4.62,4.95,4.05,4.38,"high","high","high","high"
"Tetrax tetrax",1271,26.35,1005,20.84,10,3,10,7,10,-20.93,-5.51,0.96,0.44,1,1,1,0.7,0.7,4.36,4.36,3.84,3.84,"high","high","high","high"
